"nombre","comuna"
"URB SANTA MARIA","5"
"URB SANTILLANA","4"
"URB TORRES CORMORANES","7"
"VALLE ESTHER","3"
"VALLES DE GIRON ","8"
"VALLES DEL MIRADOR","4"
"VALLES DEL RODEO","8"
"VALPARAISO SUITE","2"
"VEGAS DEL RIO","4"
"VENTURA RESERVADO","2"
"VEREDA ALTO VIENTO","VEREDA"
"VEREDA BELLAVISTA","VEREDA"
"VEREDA EL NUCLEO","VEREDA"
"VEREDA LA ACEITUNA","VEREDA"
"VEREDA LA ESPERANZA","VEREDA"
"VEREDA LLANO SECO","VEREDA"
"VEREDA SAN ISIDRO","VEREDA"
"VILLA CAMILA","4"
"VILLA DE LA PAZ","9"
"VILLA DE SANTA CRUZ","4"
"VILLA MARIA","2"
"VILLA NUEVA","6"
"VILLA PAZ","7"
"VILLAS DE ALCAL","2"
"VILLAS DE COMFANORTE","4"
"VILLAS DE LA CANDELARIA ","2"
"VILLAS DE SAN PEDRO","4"
"VILLAS DEL ESCOBAL ","4"
"VILLAS DEL TEJAR","6"
"VIRGILIO BARCO","6"
"ZONA FRANCA","5"
"ZONA INDUSTRIAL","5"
"ZULIMA","5"
